,review-star-rating,review-title,review-date,avp-badge,review-body,helpful-vote-statement,review-id,review-image-tile,product_name,ASIN,star_rating,product_id,helpful_votes
0,2.0 out of 5 stars,Not good,2019-11-18,Verified Purchase,Magnetic charger not working properly and magnet is not good enough to stick to the watch,3 people found this helpful,R2KKOCEH4HE21V,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,2.0,B07ZTC2VNG,3
1,5.0 out of 5 stars,Price worthy,2019-11-08,,Nice product. Saves me a lot of headaches in finding sockets. Magnetic charger works nice too,3 people found this helpful,R397OSH9F1DLAT,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,3
2,5.0 out of 5 stars,Value for money magnet charger works nice  to,2019-12-04,,Product is nice  value  worth of it,,R3A8H8JXCBJMZQ,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
3,5.0 out of 5 stars,Impressive Charging Cable For Apple Devices!,2019-12-02,Verified Purchase,"As a tech person, I am invested in the Apple ecosystem. To ensure that I do not have to worry about charging each one of them separately, I had to look out for something that can charge multiple devices at once.That's why I got the Trajectory 3 in 1 Wireless Charging Cable.The length of the cable is 1 M, which I think is more than enough. The small size also means that I can carry it around without worrying about space constraints.Thinks that I liked- Multiple charging ports- It comes with wireless charging for Apple Series 1/2/3 watches. It is magnetic in nature- Good quality cable built using thick copper cable- Standard size- Works nicely when charging three devices at once.The charger also has proper protection mechanisms, including over-voltage protection, over current protection, and temperature protection.Things that I think can be improved- Pricing can be better- A carry case would have been a great addition to itIf you liked my review, then do click the helpful button. This will motivate me to write more detailed reviews!",,R165F6MHAIAJN5,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
4,5.0 out of 5 stars,The quality is better than I expected,2019-12-04,,Easily charging my apple devices specially the woreless charging is awesome the dock is of pretty good quality the wire is long enough to reach 3 devices simultaneously.,,R1WS2C6EQGHX2U,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
5,1.0 out of 5 stars,Apple watch charger doesn't work properly,2019-11-28,Verified Purchase,Apple watch charger doesn't work properly,One person found this helpful,R2Q02KAA607W96,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,1.0,B07ZTC2VNG,One
6,4.0 out of 5 stars,QUALITY IS NORMAL.,2019-12-07,Verified Purchase,COMES WITH TWO LIGHTING CONNECTORS & APPLE WATCH MAGNETIC CONNECTOR.QUALITY IS NORMAL.WATCH DOESN'T STICKS ON WELL,,R2VC9PRWYIGSAW,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,4.0,B07ZTC2VNG,0
7,5.0 out of 5 stars,Good product,2019-11-29,Verified Purchase,"Worth of it, good product",One person found this helpful,R1PAMIE8VTBQ0,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,One
8,5.0 out of 5 stars,Nice product,2019-12-02,,"After a lot of research I finally decided to purchase this wireless charger. I have been using this for the past couple of weeks for my iPhone X.  It has been working well and charging is as expected. The main reason I purchased this is for 'convenience'. To insert & remove the charging cable from the iPhone each time, is a task. But with this, I place my iPhone , i watch , laptop too on the charger at same time .  Bcz  It is 3 in 1 . It is very convenient and hassle free.Overall, very happy with this product and recommend it.",,ROENO6SOAY19X,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,5.0,B07ZTC2VNG,0
9,4.0 out of 5 stars,Nice product,2019-12-04,,Its fast charging.. Tottly worth of money it look cool,,R1G9RGQPBKE6MK,,Trajectory-Wireless-Charger-Charging-Compatible,B07ZTC2VNG,4.0,B07ZTC2VNG,0
10,5.0 out of 5 stars,Go for it.,2019-11-07,Verified Purchase,"Thanks to Amazon for the quick delivery. I own iPhone XS and apple watch series 3. I purchased this cable after I lost my original lightening cable.I seriously didn't expect a good quality 2 in 1 cable in this price range , it exceeded my expectations. I can charge my iPhone and watch at a time using this cable and wirless Charing speed is good.I definitely recommend buying this product if you own iPhone and apple watch.",,R2AV8IM2OHJ6VR,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,0
11,5.0 out of 5 stars,Fast charger for I Phone and I watch 4.,2019-10-20,Verified Purchase,Used for a week and posting this review. The Apple Watch 4 is charged by this unit. Fast charging as claimed is working. Easy to carry and easy to use as I can charge Apple Watch and I phone together with same cable.,2 people found this helpful,R1Q2HAJW96VV0X,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,2
12,5.0 out of 5 stars,Superb,2019-08-14,Verified Purchase,Nice quality,4 people found this helpful,RUASW2UJABPGN,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,4
13,5.0 out of 5 stars,Amazing,2019-08-14,Verified Purchase,Really very fast charging,3 people found this helpful,R38JGMPOH09D8U,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,3
14,1.0 out of 5 stars,Very very slow charger for Apple Watch,2019-11-16,Verified Purchase,"I have received at same time as promised..!! The packaging and everything is nice .. now comes to product..  this is very slow in charging Apple Watch, I put the watch around evening 7 and this will take whole night to give 85% battery to my Apple Watch..!! I am returning and look for other options..!!",,R1XA7RC7JTV1J3,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,1.0,B07W52JL91,0
15,5.0 out of 5 stars,Good product worthble,2019-10-29,Verified Purchase,Portable charger for iPhone products it's good quality e,One person found this helpful,R3QNC4DMAR33IX,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,One
16,5.0 out of 5 stars,Best product ever,2019-11-01,Verified Purchase,Value for money and good plastics they used even cheap also great product I love it,One person found this helpful,R28TBGZ31ZNVFE,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,One
17,1.0 out of 5 stars,Every flaw possible!,2019-10-14,Verified Purchase,The charging stops after sometime and it charges very very slowly.The charger and the watch both heat up.Very very bad product.,,R14TTLSJQ7WTMQ,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,1.0,B07W52JL91,0
18,5.0 out of 5 stars,Value for money,2019-11-01,Verified Purchase,Product quality is to good 👌Under reasonable price,One person found this helpful,RA1TAVFITH5NK,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,One
19,5.0 out of 5 stars,Good,2019-08-14,Verified Purchase,"Good product , it serves it's purpose",2 people found this helpful,R2CTP9DI3B0G8J,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,2
20,3.0 out of 5 stars,"it is only a charging dock, so you have to keep all your wires for charging",2019-05-26,Verified Purchase,"it is only a charging dock, so you have to keep all your wires for charging",,R3AB688ZW53RNZ,,SYSTENE-Charging-Station-Compatible-AirPods,B07N87H33X,3.0,B07N87H33X,0
21,5.0 out of 5 stars,Go for it.,2019-11-07,Verified Purchase,"Thanks to Amazon for the quick delivery. I own iPhone XS and apple watch series 3. I purchased this cable after I lost my original lightening cable.I seriously didn't expect a good quality 2 in 1 cable in this price range , it exceeded my expectations. I can charge my iPhone and watch at a time using this cable and wirless Charing speed is good.I definitely recommend buying this product if you own iPhone and apple watch.",,R2AV8IM2OHJ6VR,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,0
22,5.0 out of 5 stars,Fast charger for I Phone and I watch 4.,2019-10-20,Verified Purchase,Used for a week and posting this review. The Apple Watch 4 is charged by this unit. Fast charging as claimed is working. Easy to carry and easy to use as I can charge Apple Watch and I phone together with same cable.,2 people found this helpful,R1Q2HAJW96VV0X,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,2
23,5.0 out of 5 stars,Superb,2019-08-14,Verified Purchase,Nice quality,4 people found this helpful,RUASW2UJABPGN,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,4
24,5.0 out of 5 stars,Amazing,2019-08-14,Verified Purchase,Really very fast charging,3 people found this helpful,R38JGMPOH09D8U,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,3
25,1.0 out of 5 stars,Very very slow charger for Apple Watch,2019-11-16,Verified Purchase,"I have received at same time as promised..!! The packaging and everything is nice .. now comes to product..  this is very slow in charging Apple Watch, I put the watch around evening 7 and this will take whole night to give 85% battery to my Apple Watch..!! I am returning and look for other options..!!",,R1XA7RC7JTV1J3,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,1.0,B07W52JL91,0
26,5.0 out of 5 stars,Good product worthble,2019-10-29,Verified Purchase,Portable charger for iPhone products it's good quality e,One person found this helpful,R3QNC4DMAR33IX,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,One
27,5.0 out of 5 stars,Best product ever,2019-11-01,Verified Purchase,Value for money and good plastics they used even cheap also great product I love it,One person found this helpful,R28TBGZ31ZNVFE,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,One
28,1.0 out of 5 stars,Every flaw possible!,2019-10-14,Verified Purchase,The charging stops after sometime and it charges very very slowly.The charger and the watch both heat up.Very very bad product.,,R14TTLSJQ7WTMQ,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,1.0,B07W52JL91,0
29,5.0 out of 5 stars,Value for money,2019-11-01,Verified Purchase,Product quality is to good 👌Under reasonable price,One person found this helpful,RA1TAVFITH5NK,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,One
30,5.0 out of 5 stars,Good,2019-08-14,Verified Purchase,"Good product , it serves it's purpose",2 people found this helpful,R2CTP9DI3B0G8J,,EDIO-Ezone-Wireless-Magnetic-Charging,B07W52JL91,5.0,B07W52JL91,2
31,5.0 out of 5 stars,What to Expect.,2019-02-21,Verified Purchase,The case is too perfect if you are looking for protection and nothing else. I rate a 10 star our of 5 its that good.  It has literally baffled spigen.When it comes to the stand its almost non functional. There are few imperfection when it comes to the slot cuts. Its affects the beauty but It doesn't affect protection or functionality in anyway. I am not a heavy user so I am not sure how it can handle heat. The case definitely looks premium. I suggest you buy this case and never try to use the stand It would stay cool. Because if you break the stand its not going to look that great. It completely justified the price without the functionality of the stand. !,2 people found this helpful,R2Q9WOQZ2Y4M8T,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,5.0,B07VZ5TNCQ,2
32,3.0 out of 5 stars,Partly Durable,2018-10-17,Verified Purchase,Even though the case seems rock solid sadly the sliding button at the back for the case for pulling out the loop came of within a week of purchase.Also you can't type with the case when placed on a flat surface as the case wobbles with every touch.Similar case when you  take out the stand and use it in portrait mode again the case wobbles.,3 people found this helpful,R3G91RDEQY0OYX,,Charging-Airpods-Charger-Wireless-Station,B07VZ5TNCQ,3.0,B07VZ5TNCQ,3
